keyword,keyword_id
Non-judgmental,P09S01K05
Emotionally nurturing,P02S01K02
Seeking excellence,P01S01K06
Creative,P07S02K01
Risk-taking,P07S02K10
Straight forward,P01S02K07
Seek certainty,P06S02K03
Analytical,P09S02K10
Difficulty saying 'NO',P09S03K09
Procrastinating,P09S03K12
Ambiguous in conversations,P09S03K15
Structured and organized,P06S01K04
Independence,P08S01K02
Courage,P08S01K04
Encourage skill improvements,P03S01K04
Well aimed goals,P03S01K05
Service,P02S01K01
Empathetic,P02S01K05
Optimistic- Positive outlook,P02S02K12
Emotional connection,P02S01K06
Imaginative,P02S02K15
Flexibility,P07S01K06
Inflexible,P06S03K19
Efficient,P03S02K03
Self-presentation,P03S02K05
Spontaneous,P03S02K11
Experimentation,P05S01K01
Innovation,P05S01K02
Systematic,P05S01K03
Rational,P05S01K04
Predictability,P09S01K01
Collaborative,P09S01K02
Peaceful and balanced,P09S01K03
Well defined structure,P09S01K04
Mediator,P09S02K01
Optimistic,P09S02K05
Connection,P04S01K01
Individuality,P04S01K02
Freedom of expression,P04S01K03
Uniqueness,P04S02K09
Authenticity,P04S02K12
Overly compliant,P06S03K12
Creative,P04S02K07
Methodological,P01S01K01
Methodological,P01S01K01
Methodological,P01S01K01
Agreeable,P02S02K03
Hardworking,P02S02K13
Appreciative,P02S01K03
Avoiding routine tasks,P07S03K08
Low outcome or result driven,P02S03K18
Creating dependency,P02S03K19
Quick learner,P07S02K11
Optimistic,P07S02K05
Pessimistic,P06S03K10
Intuitive,P04S02K14
Practical,P08S02K08
Leading by timelines,P01S01K03
Social,P07S01K07
Cautious,P06S02K02
Collaborative,P06S02K04
Well defined roles,P01S01K02
Minimum supervision,P01S01K04
Task-orientation,P01S01K05
Good decision maker,P01S02K08
Problem solving,P06S02K11
Supportive,P06S02K12
Self-centred,P07S03K23
Analytical,P06S02K05
Teamwork,P06S01K01
Supportive,P06S01K02
Honesty,P06S01K03
Autonomy,P07S01K01
Ideation,P07S01K03
Positivity,P07S01K04
Fun,P07S01K05
Multitasker,P07S02K04
Empowerment,P08S01K01
Responsibility,P08S01K05
Take charge attitude,P08S02K03
Bold & Daring,P08S02K04
Overly protective,P08S03K11
Result and success oriented,P03S01K01
Value productivity,P03S01K02
Acknowledges achievements,P03S01K03
Strategic,P02S02K16
